Comment,Category 1,Category 2,Category 3
"I'd imagine that the main reason that people are paying to watch this is because it stars Alyson Hannigan. Well, she's in it, and she makes the most of a thoroughly unchallenging role, but unless you're a total completist, that shouldn't be enough of a reason to waste even 80 minutes of your life on this appalling waste of talent.<br /><br />What the writer/directors seem to have missed is that if you're going to parody or satirise a scene from a decent movie, you actually have to add something. It's not sufficient to just throw a bunch of stolen scenes together in the hope that the conjunction will generate humour by itself. I honestly could not see one - not ONE - original thought or idea or line in the script or direction. That in itself is something of an achievement. The whole thing plays like it was scripted by teenagers, and not teenagers from the top end of the grade curve.<br /><br />In fact, I have to wonder if this films is deliberately aimed at the lowest common denominator. If so, it missed by several yards to the south.",Directional Techniques,Plot,
"seriously nobody is doing to the Mexican film industry any good by calling this film a classic, because by telling that, it means that this is the better that Mexican directors can do.<br /><br />I tell this because this movie is truly horrible, the acting, the ambiance, even the music it's like a nightmare to the ears. I beg to people from Mexico to be objective, this movie is trash, and it isn't deserve to call it classic, and to say the contrary is an insult for the cinematographic industry of Mexico.<br /><br />One of the dullest film I've seen in all my life. <br /><br />I give 1 out of 10",Music,Performance,
"I saw this first at Sundance and again last week. It's great. Fantastic music and you know that some of these guys and girls are going to be big stars. Probably the best thing is that it's a completely fresh film; no hollow, over budgeted, OTT, trillion dollar musical. CAMP's got soul.",Music,Others,
"I had the good fortune of a teacher lending me this in high school. It may be the best documentary ever. Two British film makers traveled to 25 countries recording pieces of music and then fusing them together via laptop, and the results are a stunning fusion of world musics and editing. If that weren't enough there's interviews with artists, scientists, religious scholars, mystics, authors (Kurt Vonnegut and Tom Robbins, actors, activists, prostitutes, people on the street divided into twelve chapters ""Time, Confrontation, Sex, Masks, God, Faith, Blasphemy, Unity, Death, Money, Inspiration, and Happiness."" Each is broken up into a song, to it's easy to watch in pieces or all the way through. Inspiring music, concepts, and message, should be seen by anyone with an interested in anything. One of the best films ever made.",Music,,
"I went to the theater thinking that I would be entertained. Instead, I was disappointed. The music portrayed in this film were above the kid's heads as they could not relate to the outdated tunes. Also, for a scriptwriter to have to use overused dialog really hints that this person has no original thought in their head. Also, the PC themes in there got on my nerves as they do not belong in this country. I could not even feel for the poor Chicken Little as his shallow dad was disappointed in him because he was not the great person he himself once was. It just did not pull me in because that part of the plot was weak. I find this as bad as Robots and Yugioh the Movie. I know that in Hollywood that it's not what you know, it's who you know, but I think that these major film companies need to review their staff of writers and get some REAL talent. Yes, I could have written a better film. This is from a writer who knows better!",Music,Plot,
"Things that were great: # Genuine Comedy. I laughed out loud on many occasions. # No Hidden Agenda. # Amazing music. Different genres of Indian music were used. I was pleasantly surprised with the use of Indian Classical Music to accompany Todd's (read Toad's) introduction to the poverty that surrounds his unknown friend/consultant. # Portrayal of India is very real and genuine in many of the scenes. # Acting was superb. Many actors did a pretty good job. I am surprised and glad that the director did not go for a big name in Bollywood for role of Asha. # No boring slot. I did not get bored even for a minute. # Holi Scene - This was done very nicely. Journey of surprise, scare, introduction, involvement, enjoyment, accomplishment, peace - all packed in very few minutes. I loved it. <br /><br />Things that were not-so-great: # Real call centers were not shown at all. Some of the campuses are state-of-the-art. Some offices may even be better than their counterparts in USA. # Holiday in Goa. Could have thrown in more caution and scare in this. This is still a rarity and a very unconventional/unacceptable thing to do in India. Most won't talk about it and would be uncomfortable to even watch it in movies let alone doing it. # How do you find so many English speaking people in a village. You would have to screen hundreds of people to get 15 that could work in a call center. # Scene about breaking the news to agents about closing Indian call center was done very lightly. # How do you run a call center on a roof with an Indian wedding in progress near by? # Did construction work at call center ever progress?",Music,Directional Techniques,Performance
"This is one of those movies that as itself is a gem. For those that have seen it, and ""want to know more"" I HIGHLY recommend getting the book the movie was based upon. The movie is like a ""Cliff's Notes"" version of about 5 chapters of the book!!!<br /><br /> Only complaint was that I think it was a bit TOO vague on the missionary selection process in the beginning of the movie - but did a great job avoiding the ""dogma"" aspect and staying true to the story.<br /><br /> Two thumbs up (even if their my own).",Others,,
"I select films that I do not think I have seen before. I have no idea who made them who is in them or what they are about. I just use them to fill an hour or so. Many I never watch to the end. I thought this was just another made in Hollywood movie. Instead it was the movie equivalent of the book I was unable to put down. No one, not the director, the actors or the crew imposed their message on me ( I saw the Irish pub theatre version of Alexander last week, that movie tattoos it's message on your eyeballs). This movie was peopled by personalities, pictures and places. It was a piece of Anglo French (or the other way round)excellence. My personal thanks to all those who made the movie for making me feel I had not wasted at least this time in my life. Smashing!!!!!!",Others,,
"The Forbin Project is a well-done, thought provoking movie. It points out that man's technology could just backfire on him someday. There has to be a limit to how much high-tech ""stuff"" we can come up with, without eventually getting in over our heads. Also makes one wonder if, maybe, there is a better way of doing things that we just don't want to accept. Definitely not a movie for those who just want quick, loud action, but aimed more at thinking individuals. Sadly, it has kind of gone into obscurity, but an excellent movie nonetheless.",Others,,
"This film for me, shows how far Canadian film has come. It is unfortunate that this film does not seem to have been noticed more outside Canada. Pare is adorable and goes through the movie looking like she's not quite sure what's happening to her, or whether she should be enjoying it. Dan Akyroyd is brilliant as an increasingly neurotic businessman who falls for her. The movie unfolds in a series of photoshoots, media clips, sound bites, and interviews. As in accounts of ""real life"" celebs, it feels like we know Pare's character intimately. Perhaps this supermodel is as real as the celebs we see on TV and in mags every day. Beautifully and appropriately filmed - looks exactly like Fashion TV.",Others,,
"So what if Chow Yun Fat fires a hundred rounds apiece from his pistols without reloading? Who cares whether shotgun rounds explode when they impact? Hard Boiled isn't about the reality, it's about the action--which is so over-the-top that reality takes a back seat. HB is like Tequila's toothpick: It's all about the Cool.",Others,,
"I liked it better than the Hitchcock version, Dial M for Murder. Most of the stars measure up, except for Gwyneth Paltrow, who<br /><br />reminded me of Twiggy.",Others,,
"For the information of your readers - I am the person who played the mother in Cindy and Donna. My stage name was: Suzy Allen. I never used the name Susy Allen and any information shown for Susy Allen does not apply to me. I don't know why I was not credited properly. I agree that Cindy and Donna was a terrible movie, but the stagehands and crew said I was the best actor in the movie! We spent an entire day filming one scene, with me and my ""husband"" driving on a freeway, with me nagging him about not taking me out often enough !! I had a lot of fun trying to be the whining, miserable wife for the movie, even though in real life I am nothing like that character. It was also very interesting for me to have to dub in some of my lines after the movie was finished. Quite a challenge to get everything right on cue.",Others,,
"I was rather disappointed with this film, after the high voter rating. My guess is that most of the high votes came from gay viewers, who were happy to see gay love featured so prominently in a mostly unremarkable film. <br /><br />Sure there were some memorable moments. That's why it didn't totally stink. But the film otherwise dragged. If the love had been between a man and a woman, you could say this movie has already been made a thousand times (philandering man with slightly psychotic woman....). <br /><br />The action and intrigue are minimal. If you want to see a gay love story (and sure, good acting) you might enjoy this movie. But don't be fooled into thinking its a thriller or an action movie as I was.",Others,,
"this is one of the worst movies that I've ever seen. It had some possibilities I give it that but the rest is so low budget and bad that it really hurts. Nicholas Lea (X files, Once a Thief) is in it and Jan- Michael Vincent from Airwolf. That's no point in seeing it believe me. It's pure bull****. Beware",Others,,
"I caught this documentary back in a repertory theatre back in 1992. I haven't seen it since but I never forgot it. It's basically talks with lesbian writers who talk about writing and having published books about lesbian lovers. Also they talk about what it was like in lesbian bars back then.<br /><br />Some people may think that this will only appeal to a limited audience (i.e. gay and lesbian) but I saw it with a straight friend and he was fascinated. The talks are lively and fun--there's no despair or negativity. One writer speaks openly about fighting with publishers to have her books have happy endings! Interspered is a sequence in which two women meet in a bar (no dialogue), go to one of their houses and has sex. I have no problem with that, but the sequence seems way too explicit for this. Still this is an excellent documentary about a subject that is never covered. How about one with gay male writers?",Others,,
"A word of warning: don't get caught up in the quest for an explanation about how a man could possibly speak to his father in the past. Obviously this kind of exchange is impossible so take my advice and don't worry about it, just watch the movie and enjoy it at face value, you won't be disappointed.",Others,,
"I rate this DVD a perfect 10/10.<br /><br />No other artist has ever come close to acheiving what Madonna has in any field of music, but especially music videos. She has garnered 65 MTV video award nominations - SIXTY FIVE.<br /><br />This compilation features my two favorite music videos of all time - Ray of Light, and The Power of Goodbye.<br /><br />If you are a Madonna fan, run, don't walk to the nearest retailer and get this ASAP.",Others,,
"Olivia plays a widow with 2 young daughters living high in the mountains and facing the prospect of a bleak xmas having lost her job and with the threat of the bank taking her home through non mortgage payments.<br /><br />Gregory Harrison plays bank employee who is to deliver the fatal news on xmas eve gets stuck in her house due to a car crash in a snow storm on xmas eve.<br /><br />Making xmas cakes to try and make some extra money for the holiday season,Olivia and daughters,one of whom is played by real daughter Chloe whose acting at such a young age is quite credible.<br /><br />Despite his somewhat nasty character Olivia falls for gregory harrison who although already has a fiance and in true disney fashion all ends happily with Olivia getting to keep her house and is given a framed drawing of her two daughters by harrison.<br /><br />Bleak settings help to give atmosphere to the film and Olivia is maturing as a tv actress with this film being made not long after her successful battle with breast cancer.Not a glamorous role for Olivia but one with real grit and determination. 8 out of 10.",Others,,
"How could one not love a movie such as this. I have loved this movie since the first day I saw it. What made me watch the movie originally was the car. However, after seeing the entire movie, I was not disappointed. Plenty of cars, good story, and a good ending. Got to love it!!!<br /><br />Maximus Tyre Knight ô¿~ P.S. - Why couldn't I get the car instead of his brother? ;o)",Others,,
"This fourth installment had many to think the series was over with the death of Jason, but just wait until the sixth Friday. It sure was fun watching this one and seeing a young Corey Feldman put a temporary end to Jason with good gore, action, and suspense.",Others,,
"First line to pad out the comment.<br /><br />Second line to pad out the comment. Review follows!<br /><br />I remember this being my least watched of the four Peanuts movies. Returning to this film after twenty years to watch it with my three year old daughter reminded me why that was.<br /><br />Either people are hurting each other or they're crying in this film. The voice acting is generally bad, though Linus is pretty good. Charlie Brown is just about intolerable. At one point, my daughter turned to me and said, ""Daddy, this is boring."" She was right.<br /><br />I'm glad I showed her this one first. They only get better.",Others,,
"Hey all, I just wanted to give you all a few crazy facts about this movie. I was actually one of the Make-up FX artists that help create the ""beast"" for this movie and I have to tell you the original creature looked absolutely amazing. I remember when we got the first photos back from the set we were all talking about how much of a shame it was that this creature was in a movie that would probably be pretty poor.<br /><br />What actually happened though was that Jason Palmer did the original make-up for the Sasquatch, but for some reason they had to go back and re-shoot much of the creature. The sad part was that Jason passed away a few weeks before that and so the re-done creature was no where near as awesome as the original one.<br /><br />For me it was quite sad because this was Jasons final movie, and he sort of got cheated out of his final fame due to the bad re-shoots. Anyway, I thought you guys may find that a tad interesing, and if you would like you can head over to mmmyeah.com and check out some ""behind the scenes"" photos.<br /><br />Later, Jeff",Others,,
"I have nightmares about this film! For years I thought I had made it up because I could not locate information about it anywhere. If you look up Rich Little's official website and his filmography, he will not admit to making this film. Little plays Richard Nixon as if he were Oliver Hardy and Herb Voland plays Spiro Agnew as if he were Stan Laurel. Sounds like a kick? It isn't. It is truly, truly awful. I have been a film buff since I paid $.25 to get into the Ritz theater as a little girl. I believe this may be the only movie in my life that I walked out on. And, I was a very politically aware teenager in the 70's, very anti-Nixon and his administration. I still found no redeeming value in this ""spoof"". No one should be forced to sit through this film and I am pleased to see that it has never made it to video or DVD.",Others,,
"What can i say. This was a Great film that i really enjoyed. Very funny.<br /><br />When i first watched this film they said its a WELSH TRAINSPOTTING A Welsh Trainspotting - No. Its completely different from Trainspotting and in my opinion, better and funnier. Don't get me wrong though, Trainspotting is still a great film but i prefer this. I don't know why really, i guess its because i'm Welsh (and proud of it). And i'm happy to see they made a decent WELSH film. Trust me, if your into foreign films that speak English or if you like British comedy films, then watch this. 10/10. <br /><br />Best line ever was:<br /><br />'And this glue is for my submarines and not for sticking up your f****** noses. And don't think i don't notice because i do. Buy your own f****** glue!'",Others,Plot,
"I thought this movie was fun to watch while at the same time provided plenty of healthy messages for kids/teens without overloading them or taking away from the movie. If you are looking for the best acting you have ever seen and a serious drama, this may not be your movie. But, if you are looking for an entertaining film, based on a true story with plenty of sound messages and great role models for your children; then this is the movie for you. The characters are believable as well as likable and you find yourself rooting for them throughout the movie. Double Teamed shows that with hard work, a sound family support system and belief in yourself and others it is possible to accomplish your dreams whatever they may be.",Others,,
"Well this time around the filmmakers got it right. 'Ringu 2' (1999) is now the true sequel to the 1998 original, forget 'Rasen' (1998). This time around we see Mai Takano and the powers that be go of to look for the answers to the cursed video and to find Reiko and Yoichi only to find that Yoichi has developed Sadako's telekinetic powers and is in-fact becoming the demonic girl. This is the way they should have went in the first pace. 'Ringu 2' blows 'Rasen' out of the water and runs rings around 'Ringu'. T liked the original but found the suspense lacking and the film-making a nit bland, in this film however Hideo Nakata (who also helmed the original) gives the visuals a much needed kick and the atmosphere so much needed zing. The story is a lot more interesting and the acting gives the film a bit of a haunting feel.",Others,,
"You did it!!! You changed film. You did art, comedy, and pain. Thank you, thank you so much for starting something that everyone else who comes in 2nd needs. Thank you for putting yourself second, which puts you in 1st. <br /><br />People will talk of this film for years to come and what relevance it has to the film experience and shared pain. When you allowed the guy in the wheel chair to have honor, and all of them to have honor in everything it was breathtaking. <br /><br />The mom was sweet, the idea was inspired, and everything made sense. It's about damn time someone stepped up and made a film like this. It speaks to so many people you'd be amazed. I can count a billion 2nds and not many 1st's. Bravo!<br /><br />Best in show<br /><br />Best to go!",Others,,
"Think of everything that could be wrong with a film, triple these things, cover them with a coat of raw sewage then set them on fire and you will have a piece of charbroiled pigslop called ""Satisfaction"". Tepid, low rent comedy dealing with 4 simpering teen rocker wannabe girls and their dorked out boyfriend. I figure the actors had a better time making this bilge than anybody could ever have watching it. If Jagger were dead [and watching this drivel could very well have led to his demise] he'd be permanently spinning in his expensive English casket. Gad!",Others,,
"Horror fans beware of the Hewitts House Of Horrors. The 2006 Prequel makes its 2003 predecessor look like a breezy Sunday drive. Few movies today contain all the elements of the good old fashioned Late 70's Early 80's slasher genre. TCM - The Beginning gave us that and a whole new platform for other horror movies of today to live up to. Hostel took us to a place of no return TCM-The Beginning guarantee's you wont be coming back. People in the cinema were...erm...nailed to their chairs in what was unfolding on the screen. The ticketgirl was telling all who went to see it 'Good luck.' Never have I been in a cinema whilst watching a horror movie where not one person has a comment, this movie was pure astonishment followed by the occasional boo scare and gargled scream. Not for the faint hearted and far superior then any of the Texas Chainsaw's before it.",Others,,
"We saw this short at the DragonCon Film Festival in Atlanta. This is a great brooding short that builds. The creep factor is very high, and it's heightened by the fact that we can see what's happening, but the main character can't.<br /><br />I thought the beeping alarm clocks were a little too loud and therefore a little irritating, but I'm guessing that was the desired effect. This also could have been due to the sound at the venue where we saw it. It wasn't a great room for movies, acoustic-wise.<br /><br />The make-up was very good, and the special effects were nice and creepy. Kudos to the team that created this, and we are looking forward to more installations!",Others,Visual Effect,
"Woody Allen takes two stories, his childhood with his extended family and the heyday of radio, and wraps them together, showing how radio captured the attention of and helped shape America.<br /><br />The story is occasionally a bit disjointed, and while some critics harped on that, I found that it more fit the way nostalgia feel like... bits and pieces of memories held together by common threads. <br /><br />The acting and direction are wonderful. Michael Tucker brings a great comic warmth to the screen, and Julie Kavner and Dianne Wiest are both very, very strong. But the star of this movie is the time in which it is set, and the set design, cinematography and overall mood of the movie are captured wonderfully. I've spoken to people who grew up in New York City during the ""Radio Days"" and they say that Allen captures the era perfectly.<br /><br />I love this movie because Allen doesn't pretend that the past is perfect, but he loves it even with its flaws, and he presents it to us with the love that feels for this time gone by.",Performance,Directional Techniques,Plot
"The Corner is an EXCELLENT drama series directed by Charles(Roc) Dutton on HBO. If you don't know what its like in the hood...please check this mutha out!!! The series takes place in Baltimore(based on a true story), and it is about the everyday happenings in a particular neighborhood and its down and out residents. The Corner takes you into the hellish lives of dope fiends and what they must do to stay high. Of course, this story has been shown before but, the talent of the actors make you feel as though you are watching a true life documentary such as, Investigative Reports(Bill Kurtis). A+ acting from the entire cast makes this show a must see! 10/10 stars!!!!",Performance,,
"With a strong cast including Tony Shalhoub and Maggie Gyllenhaal, we assumed this ""brilliant comedy"" would at least be moderately funny. We were wrong. Not only were the moments of humor rare, but the overwhelming lack of motivation left us scratching our heads. The actors did engage, and each character had enough depth to sustain an interest, but only enough to feel let down at the end. Apparently, the movie was ""about"" 9-11, and if the point was to portray the feeling of pointlessness and futility that many of us felt after the attacks; mission accomplished. At least it didn't meet the 90 minute minimum for Oscar consideration, or we would've had to hear people talk about how great it was.",Performance,,
"Yes, it's on film, it is around 90 minutes like a feature, it's got something that resembles a plot that provides and excuse for the performances, and it seems to participate in a genre marked by ""Pulp Fiction."" But take this for what it is, some very good actors jamming. Barbara Hershey's characterization is superb -- hers and the other performances had me mesmerized (like a frog by a snake?)-- it's that thing that actors do, that transformation that gives a shiver of the uncanny.",Performance,,
"I have to admit this film has a 'Have I met you before' feeling to it. But then most sequels do. Same characters, same personalities leads to some of the stuff being same-ish. Yet I ask you, how many people do you know that drastically change overnight? Not that many. So the same characters having the same reactions and habits to similar situations is not that far fetched. Hill Street Blues characters didn't change that much either yet it stayed entertaining. I thoroughly enjoyed this film. The acting is of a very high quality and so are some of the action scenes. And there is a twist in the film I didn't see coming. So all in all, not a classic yet highly entertaining, and that is what it was supposed to do.",Performance,Plot,
